794	903
757	3761	706
729	3740	703
705	3747	699
655	3737	693
635	3742	685
614	3758	678
586	3744	670
541	3739	659
521	3738	649
498	3738	638
462	3737	625
424	3732	611
405	3748	599
361	3742	581
336	3738	568
324	3743	552
288	3757	537
245	3746	544
213	3742	505
199	3734	528
179	3752	539
148	3744	549
130	3740	556
94	3728	563
70	3744	571
21	3748	577
8	3744	583
4045	3750	588
4023	3736	593
3990	3738	597
3965	3735	598
3933	3727	601
3922	3746	601
3885	3745	601
3837	3751	601
3823	3740	599
3806	3736	597
3761	3753	593
3735	3746	589
3705	3734	584
3663	3741	578
3638	3742	572
3607	3749	565
3595	3752	558
3553	3744	549
3528	3756	556
3517	3744	516
3471	3740	555
3434	3746	579
3403	3741	600
3388	3757	617
3341	3746	639
3321	3751	660
3284	3741	676
3264	3745	694
3238	3738	716
3201	3745	730
3176	3744	745
3150	3739	761
3121	3750	774
3096	3730	786
3052	3732	799
3017	3731	810
2988	3743	817
2959	3744	818
2954	3746	826
2923	3767	918
2884	3735	829
2851	3754	829
2853	3727	828
2788	3742	824
2759	3737	818
2725	3731	812
2704	3753	803
2678	3752	793
2649	3737	781
2624	3748	769
2580	3742	755
2547	3735	738
2519	3749	721
2486	3735	703
2460	3735	686
2440	3756	667
2404	3769	648
2369	3737	628
2334	3750	608
2297	3746	621
2288	3742	554
2239	3744	596
2204	3738	610
2177	3717	622
2159	3723	634
2125	3712	644
2085	3713	654
2056	3705	665
2026	3704	674
2001	3701	680
1965	3702	687
1924	3708	692
1899	3715	695
1870	3700	697
1856	3714	699
1819	3710	700
1785	3711	699
1752	3706	697
1710	3715	693
1675	3709	689
1655	3691	684
1619	3710	676
1603	3706	669
1556	3702	660
1535	3683	649
1512	3708	639
1475	3690	627
1434	3696	613
1418	3709	599
1378	3706	586
1347	3692	572
1327	3691	573
1290	3702	537
1267	3715	568
1233	3689	582
1218	3700	596
1180	3699	610
1165	3707	623
1139	3706	634
1097	3702	646
1084	3693	657
1053	3724	668
1021	3690	677
1003	3692	684
963	3693	691
922	3706	697
913	3695	701
865	3706	704
865	3700	706
815	3700	708
796	3700	707
739	3689	706
744	3712	703
700	3721	700
667	3704	694
656	3721	687
612	3703	681
600	3689	734
574	3726	663
538	3706	653
526	3714	642
484	3709	632
445	3722	618
429	3712	605
387	3697	591
353	3702	575
341	3699	560
304	3696	545
275	3690	529
222	3709	525
193	3712	522
181	3701	531
160	3704	541
134	3704	550
113	3725	795
87	3690	566
50	3695	573
10	3706	579
4068	3685	584
4025	3693	590
3999	3713	594
3973	3688	597
3940	3707	598
3916	3692	599
3890	3725	600
3874	3677	599
3826	3713	597
3791	3701	595
3765	3708	592
3720	3685	588
3716	3699	583
3672	3706	577
3641	3688	571
3616	3720	508
3590	3700	556
3570	3693	547
3523	3700	540
3490	3706	523
3474	3707	551
3427	3718	573
3406	3703	595
3381	3703	614
3346	3687	634
3303	3706	655
3290	3707	672
3256	3699	688
3222	3712	711
3221	3702	726
3191	3701	739
3154	3713	755
3131	3703	900
3102	3706	782
3061	3717	794
3020	3713	805
3009	3696	814
2979	3692	819
2948	3714	822
2909	3691	826
2897	3713	826
2855	3704	826
2836	3702	825
2792	3692	822
2771	3705	817
2736	3692	810
2716	3702	804
2688	3707	791
2664	3691	779
2615	3694	767
2592	3668	751
2571	3650	735
2529	3650	720
2507	3629	703
